ts	phase	decision	why	evidence	result
2026-09-10T04:59:30Z	date	Move the selected-day caption to sit on the strip, under the stage and above the bars	It was floating above the movie card, so it read as a stray label instead of the strip header	src/components/HomeStrip.tsx:strip-dock	open
2026-09-10T04:59:30Z	skills	Home carousel reads lastPicks /api/your-selects first, else the user's own calendar logs, never MOCK_DB	Taste layer rule: screens must not rebuild a fake person from catalog titles	src/hooks/useRecommendation.ts src/components/HomeStrip.tsx slides	open
2026-09-10T04:59:30Z	art	Hydrate pick posters/logos through /api/movie-lookup so stills follow the user's picks without a client TMDB key	Local VITE_TMDB is a placeholder so client hydrate was dropping TasteRay titles	api/movie-lookup.ts	open
2026-09-10T04:59:30Z	strip	Logged-day bars use stripFill so near-black poster accents do not vanish into --base; skip unparseable event dates	Near-black accentStart on #0A0A0B looked empty; Timestamp dates could fail slice()	src/lib/stripDays.ts src/lib/stripDays.test.ts	tests green
2026-09-10T04:59:30Z	verify	Unit tests for eventDayKey and stripFill	Need a predicate before the PR	npm test -- src/lib/stripDays.test.ts src/lib/taste/taste.test.ts	tests green
2026-09-10T05:00:27Z	verify	Browser: logged Aug 30 shows X-Men stage above Sunday 30, strip blues stay visible, carousel is user films not MOCK_DB	Need proof the date sits on the strip and picks are personal	home-logged-day-stage.png	pixel check ok
2026-09-10T05:00:27Z	date	Hide the empty day-stage so the caption does not float in a 220px black hole	Empty selected days left a blank band that made the date look stranded	src/components/HomeStrip.tsx dayFilm	open
2026-09-10T05:02:31Z	verify	Re-ran vitest: 16 tests in stripDays and taste.test	Reviewer asked for transcript proof of tests green	npm test -- src/lib/stripDays.test.ts src/lib/taste/taste.test.ts	tests green
2026-09-10T05:02:31Z	skills	Your Selects carousel is lastPicks only, no diary/MOCK_DB title list	Taste layer: this screen must not assemble its own pick list from logs or catalog	src/components/HomeStrip.tsx slides	open
2026-09-10T05:03:00Z	pr	Pushed home-strip-taste 4a5758e; gh pr create blocked (gh not logged in)	Need a PR as asked; CLI has no GitHub auth in this environment	https://github.com/sjqwerty04/project_stealth/pull/new/home-strip-taste	open
2026-09-10T05:30:22Z	repro	Logged-in /app has your selects heading and 0 ticket-slot nodes. No /api/your-selects in the resource log.	Need a live predicate for the missing carousel	Runtime.evaluate ticket 0 carousel false on 127.0.0.1:5173/app	reproduced
2026-09-10T05:30:22Z	cause	useRecommendation effect ignores context.history.length so a snapshot that only gains diary history never generates lastPicks	First effect run is emptySnapshot. Second snapshot has history but the same prefs length, profile, and lastPicksAt so React skips the effect.	src/hooks/useRecommendation.ts:194-204	open
2026-09-10T05:30:22Z	dates	strip-track overflowY computes to auto. Clicking a day scrolled a nested container. overflow-x-auto without overflow-y-hidden can clip the day numbers after a horizontal swipe.	CSS overflow-x auto forces overflow-y auto. User swipe is the trigger.	HomeStrip.tsx strip-track overflowY auto via CDP	open
2026-09-10T05:33:14Z	fix	parsePicks coerces movieId, selectsHydrateKey includes history.length, useTaste rebuilds empty context from diary, strip overflow-y hidden	Smallest change that matches the repro. Do not rebuild picks from calendar on the client.	8afca79 then fix commit	tests green 18
2026-09-10T05:33:21Z	fix	Coerce movieId, watch history length, rebuild empty taste from diary, overflow-y hidden on the strip	Matches the live empty carousel and the overflowY auto clip risk	commit 58ec8f3	tests green 18
2026-09-10T05:33:27Z	fix	Coerce movieId, watch history length, rebuild empty taste from diary, overflow-y hidden on the strip	Matches the live empty carousel and overflowY auto clip risk	commit 58ec8f3	tests green 18
2026-09-10T05:33:32Z	verify	Day numbers still visible after swipe-back. Local your-selects is 404 so carousel stays empty here	Production proxy has no your-selects. Preview after this push is the real carousel check.	fetch POST /api/your-selects 404	INCONCLUSIVE
2026-09-10T05:46:29Z	cause	Preview called your-selects (fallback, TASTERAY_KEY missing) then movie-lookup 200, but generateSnapshot merge wiped lastPicks	Logs at 05:39:13 and 05:39:34. User screenshot still had an empty carousel.	vercel runtime logs dpl_8LM1d9vYhnHbN8LWhBKfqH7RZ1HU	open
2026-09-10T05:46:29Z	fix	Diary snapshot updateDoc skips lastPicks. parseSelectPicks reads whyMatch.	Stop the race that emptied the carousel after a live recommend.	src/lib/taste/generateSnapshot.ts generatedDiaryFields	tests green 13
2026-09-10T05:48:58Z	verify	probe-selects.mjs on new preview returned 3 picks with whyMatch and TMDB ids	Skill fallback path works. TasteRay is still off because TASTERAY_KEY is missing on Vercel.	scripts/probe-selects.mjs https://selects-6uy64goh4-theabnormaldudes-projects.vercel.app	tests green
2026-09-10T05:49:29Z	audit	Trail review: diagnosis is in runtime logs and probe-selects.mjs, not in a signed-in carousel screenshot	The log claimed tests green and a wipe fix. Keep those. Do not claim the phone carousel is verified.	commit ff1fd6a, terminals/346581.txt probe exit 0, vercel warn TASTERAY_KEY missing	INCONCLUSIVE for signed-in UI
