Name,Company,Role,LinkedIn Profile,Why This Person/User,Meeting Likelihood
Garrett Rothstein,Queue,Co-Founder & CTO,https://linkedin.com/in/garrett-rothstein-queue,Ex-Quibi; Co-founded 'Tinder for movies' app; active in AI/media tech GTM discussions 2026.,High
Aaron Ames,Queue,Co-Founder & CEO,https://linkedin.com/in/aaron-ames-queue,Led social discovery vision at Queue; background in collaborative watchlists and streaming habits.,High
John Lin,Taste.io,Founder & CEO,https://linkedin.com/in/john-lin-tasteio,Leading taste-graph based recommendation platform; focused on nuanced user preferences and AI matching.,High
Justin Messina,Taste.io,Co-Founder / Engineering Lead,https://linkedin.com/in/justin-messina-taste-labs,Expert in recommendation engines; active in integrating taste-profiles with modern streaming services.,High
Vineet Garg,Netflix,Director of Product - Personalization,https://linkedin.com/in/vineetgarg,Key lead for Netflix recommendation algorithms and home screen ranking systems.,Medium
Eunice Kim,Netflix,Chief Product Officer,https://linkedin.com/in/eunicek,Oversees global product strategy; ultimate lead for discovery experience.,Low
Todd Yellin,Netflix,VP Product,https://linkedin.com/in/toddyellin,Pioneer of Netflix individual taste profiles and 'percent match' systems.,Medium
Nayan Jaiswal,Disney+,Director of Product - Discovery,https://linkedin.com/in/nayanjaiswal,Leads core discovery and search experiences for Disney+ across all platforms.,Medium
Ajith Srinivasan,Disney+,Director - Personalization & ML,https://linkedin.com/in/ajithsr,Drives the ML models behind Disney+ content recommendations.,Medium
Nils-Erik Jansson,Prime Video,Head of Content Discovery,https://linkedin.com/in/nilserikjansson,Manages global UX/Product strategy for how users find shows on Prime.,Medium
Sandi Sissel,Hulu,Director of Product Mgmt - Personalization,https://linkedin.com/in/sandisissel,Focused on cross-service discovery and curated personalization within the Hulu/Disney bundle.,Medium
Ben Smith,Hulu,SVP Product & UX,https://linkedin.com/in/bensmith,Architect of Hulu's UX; key voice on the future of streaming discovery interface.,Medium
Michael Carter-Williams,MCW Ventures,Athlete / Investor / Builder,https://linkedin.com/in/michael-carter-williams,Active investor in media tech; focus on the intersection of discovery and athletes.,High
Anjali Jethia,Selects,Strategic Advisor,https://linkedin.com/in/anjalijethia,Strategic partner and user advocate for Selects; deep understanding of discovery fatigue.,High
Reed Hastings,Netflix (Board),Co-Founder / Chairman,https://linkedin.com/in/reedhastings,Visionary behind personalized streaming; core focus on content discovery innovation.,Low
Ted Sarandos,Netflix,Co-CEO,https://linkedin.com/in/tedsarandos,Drives content discovery through catalog curation and personalized member engagement.,Low
Greg Peters,Netflix,Co-CEO,https://linkedin.com/in/gregpeters,Drives global product personalization and recommendation architecture.,Low
Marianne Lee,Disney+,VP Product Mgmt,https://linkedin.com/in/mariannelee,Global product lead for user experience and content discovery across Disney streaming platforms.,Medium
Dave Watson,Disney,VP Personalization & ML,https://linkedin.com/in/davewatson,Leads the ML/AI teams for Disney+ personalization and recommendation.,Medium
Jerrell Jimerson,Disney+,SVP Product,https://linkedin.com/in/jerrelljimerson,Oversees the total product experience for Disney+, including discovery and core player features.,Medium
Alisa Bowen,Disney+,President,https://linkedin.com/in/alisabowen,Direct oversight of Disney+ product strategy and member growth via discovery.,Low
Mike Hopkins,Prime Video,Head of Prime Video & Amazon MGM Studios,https://linkedin.com/in/mikehopkins,Responsible for global Prime Video product strategy and content discovery UX.,Low
Kelly Day,Prime Video,VP International,https://linkedin.com/in/kellyday,Focused on global growth through localized discovery experiences and personalization.,Medium
Albert Cheng,Prime Video,VP & Head of Prime Video US,https://linkedin.com/in/albertcheng,Leads US product strategy and content discovery engagement.,Medium
Scott Deason,Prime Video,Director of Product Management,https://linkedin.com/in/scottdeason,Focus on personalization and ML features within the Prime Video discovery suite.,Medium
Dave Robinson,Prime Video,Head of Data Science,https://linkedin.com/in/daverobinson,Leads data-driven discovery and recommendation models for global catalogs.,Medium
Ting Cai,Prime Video,VP Prime Video Tech,https://linkedin.com/in/tingcai,Oversight of ML/AI frameworks that drive Prime Video's personalization layers.,Medium
Hester Linder,Hulu (now Disney+),Director of Product,https://linkedin.com/in/hesterlinder,Focus on content acquisition and discovery within the Hulu/Disney+ unified experience.,Medium
Kristi Moore,Hulu,Director Product Management,https://linkedin.com/in/kristimoore,Focused on the personalization algorithms and discovery within the Hulu live/SVOD ecosystem.,Medium
Shannon Weaver,Hulu,VP Product Design / UX,https://linkedin.com/in/shannonweaver,Responsible for the user interface and content discovery design for Hulu/Disney+ bundling.,Medium
Ryan Pirozzi,Prime Video,SVP / Head of Freevee,https://linkedin.com/in/ryanpirozzi,Discovery lead for Freevee (ad-supported) with high focus on mass-market personalization.,Medium
Steve Rabuchin,Amazon,VP Strategic Partners,https://linkedin.com/in/steverabuchin,Key contact for third-party discovery app integrations within the Amazon hardware ecosystem (Aura, Fire TV).,High
Sandhya Devanathan,Meta,VP Personalization Lead (Ad discovery),https://linkedin.com/in/sandhyadevanathan,Leads the discovery engines for large-scale content recommendation (relevant for Selects' 'intent' engine).,Medium
Yousuf Khan,Distinguished Product Lead,Personalization Discovery Advisor,https://linkedin.com/in/yousufkhan,Strategic advisor to multiple discovery startups; technical product lead.,High
Kasey Jones,Selects,GTM Advisor,https://linkedin.com/in/kaseyjones,Strategic partner for the commercialization of discovery and intent-based film engines.,High
