Name,Firm/Organization,Focus Area,LinkedIn/Twitter URL,Contact Email (if available)
Andreessen Horowitz (a16z),Andreessen Horowitz,"Consumer AI, Social, Apps, Gaming",https://www.linkedin.com/company/a16z/,info@a16z.com
Sequoia Capital,Sequoia Capital,"Consumer Internet, Marketplaces, Mobile",https://www.linkedin.com/company/sequoia-capital/,info@sequoiacap.com
Lerer Hippeau,Lerer Hippeau,"Early-stage Media, Entertainment tech, Content",https://www.linkedin.com/company/lerer-hippeau/,contact@lererhippeau.com
Forerunner Ventures,Forerunner Ventures,"Consumer, DTC, Commerce, AI-era Human Insight",https://www.linkedin.com/company/forerunner-ventures/,info@forerunnerventures.com
New Enterprise Associates (NEA),NEA,"Consumer Tech, Media, SaaS, Healthcare",https://www.linkedin.com/company/nea/,info@nea.com
Lightspeed Venture Partners,Lightspeed,"Consumer, Enterprise, Fintech, Gaming",https://www.linkedin.com/company/lightspeed-venture-partners/,info@lsvp.com
Founders Fund,Founders Fund,"Consumer, Entertainment, Infrastructure, Aerospace",https://www.linkedin.com/company/founders-fund/,info@foundersfund.com
RSE Ventures,RSE Ventures,"Sports, Media, Entertainment, Marketing tech",https://www.linkedin.com/company/rse-ventures/,info@rseventures.com
Y Combinator,Y Combinator,"Consumer Tech, Marketplaces, AI, SaaS",https://www.linkedin.com/company/y-combinator/,apply@ycombinator.com
Techstars,Techstars,"Consumer, Fintech, Healthtech, Agtech",https://www.linkedin.com/company/techstars/,info@techstars.com
Disney Accelerator,The Walt Disney Company,"Entertainment, Media, Immersive Tech, Gaming",https://www.linkedin.com/company/disney-accelerator/,accelerator@disney.com
Jason Calacanis,LAUNCH / LAUNCH Fund,"Consumer Platforms, Media, Marketplaces",https://twitter.com/Jason,jason@calacanis.com
Mark Cuban,Mark Cuban Companies,"Media, Entertainment, Sports Tech",https://twitter.com/mcuban,mark@markcubancompanies.com
Gary Vaynerchuk,VaynerX / VaynerFund,"Social Media, Content, Creator Economy",https://twitter.com/garyvee,gary@vaynermedia.com
Scott Belsky,Behance / Adobe,"Content, Creative Tools, Media, Consumer",https://twitter.com/scottbelsky,scott@scottbelsky.com
Fabrice Grinda,FJ Labs,"Marketplaces, Consumer Internet",https://twitter.com/fgrinda,fabrice@fjlabs.com
Ron Conway,SV Angel,"Consumer Internet, Media, Social",https://www.linkedin.com/in/ronaldconway/,ron@svangel.com
500 Global,500 Global,"Consumer, Fintech, Marketplaces",https://www.linkedin.com/company/500-global/,info@500.co
Plug and Play Tech Center,Plug and Play,"Consumer Electronics, Entertainment, Fintech",https://www.linkedin.com/company/plug-and-play-tech-center/,info@pnptc.com
Greylock Partners,Greylock,"Consumer, Enterprise, AI, Social",https://www.linkedin.com/company/greylock/,info@greylock.com
Khosla Ventures,Khosla Ventures,"Consumer, AI, Sustainability, Healthcare",https://www.linkedin.com/company/khosla-ventures/,info@khoslaventures.com
Betaworks,Betaworks,"Media, Social, Creative Tools, AI",https://www.linkedin.com/company/betaworks/,hello@betaworks.com
GV (Google Ventures),GV,"Broad Tech, Consumer, Life Sciences",https://www.linkedin.com/company/gv-google-ventures/,info@gv.com
Anthology Ventures,Anthology Ventures,"Entertainment, Media, Technology",https://www.linkedin.com/company/anthology-ventures/,hello@anthologyventures.com
Wavemaker Partners,Wavemaker Partners,"Consumer, Enterprise, Deep Tech",https://www.linkedin.com/company/wavemaker-partners/,info@wavemaker.vc
